"","plot","year","treatment","total.vai","h10","h25","h50","h75","h90","skew.vai","kur.vai","max.vai","min.vai","breakpoint","breakpoint.se"
"1",8,2015,"double",7.19680342233061,5.49620994234853,14.7966752893865,28.8159461967627,46.9790280799773,46.9790280799773,2.12900458645816,3.29225852860049,5,0,7.1489592026685,0.00507003881092406
"2",8,2016,"double",5.86953447511564,1.96080549982922,5.99813660550738,12.5799555285717,19.694363262637,22.7602958783084,1.0554439726866,-0.0540050559359342,3,0,4.24554790864459,0.107029540489717
"3",8,2017,"double",5.61999605444921,1.8677967467983,5.72001780887372,12.1350457604275,18.3434050454358,22.3241328040447,1.28600829697221,0.627274300210751,2,0,3.69424510857821,0.0774623476742256
"4",5,2015,"high",7.44281320535015,1.98075861554899,5.71942734024308,11.9271800017918,17.8552556487582,20.3361745424576,0.520804406028588,-1.25193833495907,10,0,6.86698188004227,0.0367357779640002
"5",5,2017,"high",4.85700670613524,1.8849858532508,6.11185877456512,12.8161149777749,18.603595004595,22.9738969849119,1.38202131832575,0.586376153606833,3,0,7.20357770740308,0.0732002339405843
"6",4,2015,"control",7.63777477390897,1.86926124349911,5.36100889663178,11.8721878330819,17.4350842702903,19.8268394795483,0.986499912327849,-0.454694137345281,8,0,7.15522669644817,0.0458006189184339
"7",4,2016,"control",7.86676266069161,1.88172045891141,5.23008694181698,11.4838073580146,17.8357722649646,20.1030696331076,0.96344159480152,-0.419355979756381,8,0,7.20418864822834,0.0671540945992423
"8",4,2017,"control",7.81232473711247,1.69742155262291,5.12212580886295,10.3723672609254,17.4130308689059,19.6447001527861,0.763238902095913,-0.114978461113456,8,0,7.20357770740308,0.0732002339405843
"9",5,2016,"high",5.26376597556338,2.63540372293401,7.47704207415907,15.3079103583305,25.434799187387,27.6587301631948,0.715778710184067,-0.747576196172124,2,0,4.93308409108607,0.0590358458172787
"10",9,2015,"high",7.85698842255537,2.10561798925419,5.49058833287337,12.158162448404,17.4092430883763,20.2245509924817,1.08133489121134,-0.179388132004753,9,0,6.93590657634556,0.0561252815135815
"11",9,2016,"high",6.01714133703837,2.17735040631335,6.1312171796168,12.3444193705592,19.2907160808548,22.7061184307146,0.191827730245544,-1.09236911484144,3,0,3.82416056479853,0.190483544070203
"12",9,2017,"high",6.34053915822478,2.24206732175109,6.2068153067823,12.6192934792693,19.3388939573436,22.5653165462571,0.686479091668387,-0.420221412418646,2,0,4.45200250422211,0.122642752003876
"13",1,2015,"double",7.41998229370212,1.78130672466509,5.42507429602019,11.3117012692339,17.2402779322566,19.9513550518183,0.666972634897825,-1.17978612957614,5,0,6.28091178427144,0.073244131853149
"14",1,2016,"double",7.11382114864938,2.00748053490308,6.5234223739128,13.1067525783914,20.6037163735224,23.293940963281,0.920009195380944,0.370597682346226,5,0,4.47844254585831,0.194193599567971
"15",1,2017,"double",5.70790904774077,1.85984353985217,6.72874642142528,13.2838547614551,20.8586797435371,24.038563604446,1.71147983997726,1.86071483636543,2,0,3.75297311894687,0.0653813162142299
"16",7,2015,"control",7.64837037092371,2.13409558300044,5.66523210863377,11.4154248394148,19.2994145977673,21.508554682732,1.36976775980564,0.763694643521378,8,0,6.66737076687527,0.138401639490943
"17",7,2016,"control",7.69774797422468,2.11830682173945,6.21837270951635,12.7448543420686,20.9513070499854,22.4785735418834,1.2525343954091,0.48511571593655,8,0,7.19382828834634,0.0539536278856165
"18",7,2017,"control",7.43707779405447,2.10620288593402,5.45460702537247,11.8175919528561,18.7348926688224,21.5158081384266,1.04775715175794,0.0296005431050275,9,0,6.32098852088843,0.156523355343296
"19",6,2015,"low",7.27556029589484,5.38843094762206,14.3882051589357,38.8879770972891,38.8879770972891,38.8879770972891,1.72023750538983,2.08675218648787,6,0,7.27425969810159,0.000342276662216683
"20",6,2016,"low",7.30680083239951,2.11702295951773,5.99055089200505,12.2578316901804,17.9698934434354,22.1823818622724,0.245050655313626,-1.01613969419644,9,0,5.08948371805578,0.128134210627441
"21",6,2017,"low",7.52696033287795,1.98962362776297,5.83470697821857,12.1060205297332,17.9714541191708,22.0426467511205,0.220478263726716,-0.525335453309091,8,0,4.77833780274374,0.238722321729618
"22",10,2015,"moderate",7.38906212067667,1.83754611330896,5.41827086036019,11.4179926397322,17.5628672099672,19.6633888073349,0.641203144262249,-1.2748129734204,5,0,6.56079457914711,0.066918593699999
"23",10,2016,"moderate",7.3994400800233,2.24412485351492,6.55713021141213,13.2595983312836,21.3008137178932,24.5318014576445,0.961368708677436,-0.241784941172166,3,0,5.93923850164056,0.120003803772979
"24",10,2017,"moderate",7.64085787175881,2.14955681588003,6.42861880525373,12.5514217759326,19.6271095621873,24.0874406880603,0.657501832511533,-0.879641753698872,7,0,6.11483532209867,0.0879531059820124
"25",3,2015,"moderate",7.29695671213425,5.9892233710419,15.842030950404,41.7778107458851,41.7778107458851,41.7778107458851,2.08948129357297,3.1216619731995,8,0,7.28872998605907,0.00348355091761784
"26",3,2016,"moderate",5.00550115480654,2.29191558811854,5.74089709433792,11.9255597477379,18.4433065413987,22.0194596015383,0.505333025707121,-0.968364666079662,8,0,4.18609977788578,0.0664847568058146
"27",3,2017,"moderate",5.49752623200777,2.28272222749675,5.47410003280009,11.4573590073076,17.8876711285316,21.0079307081324,0.469336391483641,-1.00777562549952,8,0,4.59831024135143,0.0685494712591867
"28",2,2015,"low",7.40172311336675,3.84088817876368,17.0710801898554,44.5972575265522,44.5972575265522,44.5972575265522,2.82580746556067,6.98735254014522,6,0,7.37394897259529,0.0124548135497237
"29",2,2016,"low",7.62454916508711,2.23667896810357,6.52151815542681,13.7897305819682,23.1990129531532,24.6170182486178,1.2536509297714,0.187457303157968,6,0,6.47968241586521,0.108799999968626
"30",2,2017,"low",7.83232425235335,2.03684623073566,6.06770798902211,12.7314984032301,17.9980917336025,22.0639151041052,1.39779854533471,0.861017672293042,7,0,6.67207405517744,0.0612304899376125
